City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,lospalos,-8.5186,127.0025,20.37,96,100,2.13,TL,1722788559
265,keetmanshoop,-26.5833,18.1333,16.05,33,11,9.03,NA,1722788560
266,parauapebas,-6.0675,-49.9022,33.99,30,0,3.6,BR,1722788561
267,leava,-14.3,-178.1667,26.34,76,12,2.31,WF,1722788562
268,invercargill,-46.4,168.35,5.57,93,100,0.89,NZ,1722788563
269,fisterra,42.9049,-9.2629,31.84,87,0,9.18,ES,1722788564
270,antsiranana,-12.2787,49.2917,22.25,59,14,5.98,MG,1722788566
271,uba,-21.12,-42.9428,27.48,47,38,3.26,BR,1722788567
272,kapa'a,22.0752,-159.319,26.18,88,100,5.14,US,1722788568
273,isangel,-19.55,169.2667,20.29,66,2,6.59,VU,1722788569
274,vila velha,-20.3297,-40.2925,21.97,94,75,2.57,BR,1722788570
275,isafjordur,66.0755,-23.124,12.02,71,40,5.14,IS,1722788572
276,portland,45.5234,-122.6762,22.65,74,0,0.5,US,1722788450
277,east ballina,-28.8667,153.5833,12.11,80,83,2.18,AU,1722788574
278,san salvador de jujuy,-24.1946,-65.2971,19.74,29,0,2.59,AR,1722788365
279,braco do norte,-28.275,-49.1656,20.86,82,87,1.03,BR,1722788576
280,sullivan,36.5168,-82.5332,27.52,74,75,1.54,US,1722788577
281,val-d'or,48.1002,-77.7828,16.05,94,75,2.06,CA,1722788579
282,kovdor,67.5662,30.4758,20.58,39,2,2.51,RU,1722788580
283,azangaro,-14.9167,-70.2167,12.63,22,0,1.67,PE,1722788581
284,aykhal,66.0,111.5,15.07,54,82,2.54,RU,1722788582
285,port-cartier,50.0334,-66.8654,24.82,36,16,3.48,CA,1722788583
286,molchanovo,57.5817,83.7692,18.37,95,100,0.9,RU,1722788474
287,mermoz boabab,14.7065,-17.4758,27.88,78,20,5.14,SN,1722788586
288,fauske,67.2588,15.3918,24.97,48,72,2.01,NO,1722788587
289,oranjemund,-28.55,16.4333,12.45,83,100,6.15,NA,1722788588
290,zouerate,22.7187,-12.4521,39.6,23,94,5.93,MR,1722788589
291,treinta y tres,-33.2333,-54.3833,16.66,49,100,4.73,UY,1722788591
292,zaozersk,69.4005,32.4476,12.27,74,12,6.0,RU,1722788592
293,guanica,17.9716,-66.908,33.25,53,9,8.22,PR,1722788593
294,ciudad lazaro cardenas,17.9583,-102.2,28.79,66,70,1.59,MX,1722788575
295,geraldton,-28.7667,114.6,8.23,93,0,3.6,AU,1722788595
296,touros,-5.1989,-35.4608,27.7,59,5,9.19,BR,1722788596
297,sa'dah,16.9402,43.7639,24.26,57,75,2.88,YE,1722788598
298,praia da vitoria,38.7333,-27.0667,28.14,69,40,3.64,PT,1722788599
299,mersa matruh,31.3525,27.2453,28.2,68,0,5.16,EG,1722788600
300,port elizabeth,-33.918,25.5701,13.94,71,40,10.8,ZA,1722788601
301,colares,38.7992,-9.4469,31.55,49,20,7.72,PT,1722788603
302,middelkerke,51.1558,2.8418,22.47,63,20,2.57,BE,1722788605
303,nacozari viejo,30.4,-109.65,27.72,49,33,1.1,MX,1722788606
304,chernyshevsk,52.5243,117.0174,16.6,94,100,1.42,RU,1722788607
305,kodiak,57.79,-152.4072,11.73,94,100,5.14,US,1722788609
306,saint-philippe,-21.3585,55.7679,18.77,75,52,3.71,RE,1722788610
307,saki,8.6667,3.3833,25.43,78,91,2.72,NG,1722788611
308,isla aguada,18.7833,-91.4667,29.02,78,20,2.95,MX,1722788612
309,arkadak,51.9326,43.4978,17.51,75,100,3.21,RU,1722788354
310,tindouf,27.6711,-8.1474,46.25,4,1,2.57,DZ,1722788615
311,kencong,-8.2833,113.3667,22.79,89,0,0.55,ID,1722788616
312,oltinko'l,40.8011,72.1634,33.1,18,1,3.06,UZ,1722788617
313,coquimbo,-29.9533,-71.3436,14.85,88,75,3.6,CL,1722788520
314,haiku-pauwela,20.9219,-156.3051,23.47,88,40,4.63,US,1722788619
315,umm kaddadah,13.6017,26.6876,25.41,69,100,5.09,SD,1722788621
316,as sulayyil,20.4607,45.5779,41.14,14,100,2.34,SA,1722788623
317,kerikeri,-35.2268,173.9474,10.51,89,100,2.24,NZ,1722788624
318,ust-tsilma,65.441,52.1498,15.54,90,99,3.7,RU,1722788625
319,east london,-33.0153,27.9116,14.52,54,0,8.23,ZA,1722788627
320,alofi,-19.0595,-169.9187,21.94,94,20,2.57,NU,1722788628
321,gilgit,35.9221,74.3087,27.0,59,100,1.23,PK,1722788629
322,balpyk bi,44.8947,78.2083,26.71,27,1,2.44,KZ,1722788630
323,richards bay,-28.783,32.0377,29.05,25,32,2.65,ZA,1722788631
324,pacocha,-17.5833,-71.3333,17.13,71,26,3.45,PE,1722788633
325,prince george,53.9166,-122.753,16.46,77,0,4.12,CA,1722788634
326,laguna,38.421,-121.4238,30.1,49,0,2.06,US,1722788635
327,vuktyl,63.8567,57.3094,17.34,75,29,4.03,RU,1722788636
328,utrik,11.2278,169.8474,28.28,78,100,5.77,MH,1722788637
329,cidreira,-30.1811,-50.2056,16.3,96,100,1.65,BR,1722788639
330,santiago papasquiaro,25.046,-105.4208,25.27,39,100,1.57,MX,1722788640
331,buta,2.7858,24.73,25.11,78,99,1.07,CD,1722788641
332,kamina,-8.7386,24.9906,27.88,16,15,2.61,CD,1722788642
333,glendive,47.1053,-104.7125,24.54,64,0,4.12,US,1722788643
334,allapalli,19.4167,80.0667,24.45,97,100,1.56,IN,1722788645
335,semporna,4.4818,118.6112,25.58,88,53,1.1,MY,1722788646
336,bozova,37.3625,38.5267,37.51,7,0,2.09,TR,1722788647
337,sabha,27.0377,14.4283,39.37,9,0,4.62,LY,1722788648
338,nuuk,64.1835,-51.7216,5.49,93,41,4.47,GL,1722788649
339,ak'ordat,15.5486,37.8867,30.79,51,44,3.12,ER,1722788650
340,shubarshi,48.5872,57.1869,26.48,26,4,3.52,KZ,1722788652
341,saint-pierre,-21.3393,55.4781,18.82,77,0,2.57,RE,1722788653
342,christchurch,-43.5333,172.6333,1.9,82,98,1.33,NZ,1722788426
343,sidi akkacha,36.4647,1.3026,39.16,38,0,5.28,DZ,1722788655
344,luanda,-8.8368,13.2343,20.51,75,55,5.75,AO,1722788656
345,jayapura,-2.5333,140.7,22.66,95,99,2.22,ID,1722788657
346,gogosu,44.3739,22.5931,27.88,32,0,7.16,RO,1722788659
347,harij,23.7,71.9,29.53,76,100,6.84,IN,1722788660
348,port-saint-louis-du-rhone,43.3833,4.8,34.13,26,0,7.72,FR,1722788661
349,ribas do rio pardo,-20.4431,-53.7592,34.07,18,34,4.62,BR,1722788662
350,san ignacio,17.1561,-89.0714,30.08,70,75,0.0,BZ,1722788663
351,partizansk,43.1258,133.1339,14.72,98,77,0.91,RU,1722788665
352,sparta,43.9441,-90.8129,28.5,72,20,0.0,US,1722788666
353,kingston,17.997,-76.7936,32.53,66,20,8.23,JM,1722788205
354,tabou,4.423,-7.3528,26.18,73,99,3.63,CI,1722788668
355,el alto,-4.2714,-81.2147,19.81,62,74,7.22,PE,1722788669
356,riviere-du-loup,47.8304,-69.5342,24.15,53,25,2.57,CA,1722788561
357,keren,15.7778,38.4581,21.59,78,87,0.34,ER,1722788672
358,quincy,42.2529,-71.0023,30.21,70,75,5.66,US,1722788442
359,nova xavantina,-14.6667,-52.35,33.44,20,0,2.83,BR,1722788674
360,sur,22.5667,59.5289,32.87,60,100,2.7,OM,1722788675
361,novodvinsk,64.4165,40.8122,18.86,58,100,3.12,RU,1722788676
362,ocean city,39.2776,-74.5746,27.1,82,100,5.03,US,1722788678
